RSSI,NSINR,NRSRP,NRSRQ,BSLatitude,BSLongitude,UELatitude,UELongitude,UE_location,BS_location,UE_BS_pair
-69.58,-13.54,-94.25,-24.7,41.864758,12.469067,41.873108,12.466358,41.873108_12.466358,41.864758_12.469067,41.873108_12.466358_41.864758_12.469067
-79.04,-15.08,-105.04,-26.025,41.864758,12.469067,41.872647,12.467251,41.872647_12.467251,41.864758_12.469067,41.872647_12.467251_41.864758_12.469067
-77.39428571428572,-12.508571428571427,-101.11857142857144,-23.732857142857146,41.864758,12.469067,41.872682,12.467267,41.872682_12.467267,41.864758_12.469067,41.872682_12.467267_41.864758_12.469067
-64.46,-16.11,-91.71,-27.21,41.864758,12.469067,41.872269,12.467361,41.872269_12.467361,41.864758_12.469067,41.872269_12.467361_41.864758_12.469067
-66.21,-12.445,-89.31,-23.095,41.864758,12.469067,41.87047,12.463664,41.87047_12.463664,41.864758_12.469067,41.87047_12.463664_41.864758_12.469067
-67.08,20.93,-74.85,-7.755000000000001,41.864758,12.469067,41.866364,12.468767,41.866364_12.468767,41.864758_12.469067,41.866364_12.468767_41.864758_12.469067
-65.18,23.3,-72.65,-7.455,41.864758,12.469067,41.866378,12.468773,41.866378_12.468773,41.864758_12.469067,41.866378_12.468773_41.864758_12.469067
-65.37,23.085,-72.95,-7.57,41.864758,12.469067,41.866368,12.468764,41.866368_12.468764,41.864758_12.469067,41.866368_12.468764_41.864758_12.469067
-63.07,22.65,-71.84,-8.765,41.864758,12.469067,41.866356,12.468752,41.866356_12.468752,41.864758_12.469067,41.866356_12.468752_41.864758_12.469067
-63.07,22.65,-71.84,-8.765,41.864758,12.469067,41.866322,12.468734,41.866322_12.468734,41.864758_12.469067,41.866322_12.468734_41.864758_12.469067
-65.95,22.885,-73.55000000000001,-7.595,41.864758,12.469067,41.866306,12.468724,41.866306_12.468724,41.864758_12.469067,41.866306_12.468724_41.864758_12.469067
-64.48,24.265,-72.145,-7.654999999999999,41.864758,12.469067,41.866287,12.468718,41.866287_12.468718,41.864758_12.469067,41.866287_12.468718_41.864758_12.469067
-65.055,23.19,-72.54499999999999,-7.4775,41.864758,12.469067,41.866288,12.468723,41.866288_12.468723,41.864758_12.469067,41.866288_12.468723_41.864758_12.469067
-63.44,24.33,-70.98,-7.52,41.864758,12.469067,41.866304,12.468727,41.866304_12.468727,41.864758_12.469067,41.866304_12.468727_41.864758_12.469067
